date,symbol,direction,strength,auction_interval_min,realised_end,realised_sessions
2021-12-01,2497,long,0.7613,5.0,2021-12-16,12
2021-12-02,3066,long,0.9158,5.0,2021-12-20,13
2021-12-02,9103,long,,,2022-01-26,36
2021-12-03,8406,long,0.3227,5.0,2021-12-16,10
2021-12-06,3294,long,0.491,5.0,2021-12-17,10
2021-12-08,5245,long,0.891,5.0,2021-12-24,13
2021-12-09,5344,long,0.423,20.0,2021-12-22,10
2021-12-09,6134,long,0.8086,5.0,2021-12-27,13
2021-12-09,6235,long,0.5632,5.0,2021-12-22,10
2021-12-10,6556,long,0.4925,5.0,2021-12-23,10
2021-12-13,4944,long,0.5309,10.0,2021-12-24,10
2021-12-14,8068,long,0.3933,5.0,2021-12-27,10
2021-12-15,3051,long,0.7706,5.0,2021-12-28,10
2021-12-15,6118,long,0.7223,20.0,2021-12-30,12
2021-12-15,6514,long,0.486,5.0,2021-12-28,10
2021-12-16,1236,long,0.6263,20.0,2021-12-29,10
2021-12-16,2405,long,0.5528,5.0,2021-12-29,10
2021-12-17,3085,long,0.194,45.0,2021-12-30,10
2021-12-17,3508,long,0.2916,20.0,2021-12-30,10
2021-12-17,8450,long,0.6973,20.0,2021-12-30,10
2021-12-20,2406,long,0.5597,5.0,2022-01-05,12
2021-12-20,3687,long,0.7419,5.0,2022-01-06,13
2021-12-21,3308,long,0.3941,5.0,2022-01-11,14
2021-12-22,4946,long,0.8031,5.0,2022-01-05,10
2021-12-23,3491,long,0.2049,5.0,2022-01-10,12
2021-12-27,2939,long,0.4089,5.0,2022-01-10,10
2021-12-27,6111,long,0.4769,5.0,2022-01-10,10
2021-12-28,6593,long,0.5337,5.0,2022-01-11,10
2021-12-29,3383,long,0.735,45.0,2022-01-26,20
2021-12-30,5227,long,1.2092,5.0,2022-01-13,10
2021-12-30,6158,long,0.6732,5.0,2022-01-13,10
2021-12-30,8080,long,0.55,45.0,2022-01-13,10
2021-12-30,8440,long,0.5595,5.0,2022-01-13,10
2022-01-03,4755,long,1.1333,5.0,2022-01-18,12
2022-01-04,6228,long,0.8565,5.0,2022-01-17,10
2022-01-05,4304,long,0.8167,45.0,2022-01-21,13
2022-01-06,2323,long,0.4989,5.0,2022-01-19,10
2022-01-06,2359,long,0.523,5.0,2022-01-19,10
2022-01-11,2443,long,0.5051,45.0,2022-01-24,10
2022-01-11,4946,long,1.3631,20.0,2022-01-24,10
2022-01-17,6225,long,0.3688,45.0,2022-01-26,8
2022-01-18,8450,long,-0.0086,20.0,2022-01-26,7
2022-02-07,3383,long,0.0807,60.0,2022-02-09,3
2022-02-07,6225,long,0.3037,45.0,2022-02-08,2
2022-02-07,8450,long,-0.1557,20.0,2022-02-09,3
2022-02-07,9103,long,,,2022-02-09,3
2022-02-08,1529,long,0.2984,5.0,2022-02-23,12
2022-02-08,8454,long,-0.3333,5.0,2022-02-21,10
2022-02-09,3219,long,0.2595,5.0,2022-02-22,10
2022-02-14,2497,long,0.2376,5.0,2022-03-16,22
2022-02-16,8440,long,0.4441,20.0,2022-03-04,12
2022-02-17,3066,long,0.3683,5.0,2022-03-03,10
2022-02-21,5321,long,0.3654,5.0,2022-03-09,12
2022-02-21,9103,long,,,2022-03-07,10
2022-02-23,2745,long,0.5682,5.0,2022-03-09,10
2022-02-24,2743,long,0.7025,5.0,2022-03-14,12
2022-02-24,5301,long,0.7896,5.0,2022-03-10,10
2022-02-25,9955,long,0.7038,5.0,2022-03-15,12
2022-03-01,1435,long,0.6678,5.0,2022-03-17,13
2022-03-01,2924,long,0.8324,5.0,2022-03-17,13
2022-03-08,2936,long,0.4132,5.0,2022-03-21,10
2022-03-09,2024,long,0.4641,5.0,2022-03-22,10
2022-03-17,9105,long,,,2022-03-30,10
2022-03-21,4804,long,0.7258,5.0,2022-04-01,10
2022-03-22,9103,long,,,2022-04-06,10
2022-03-24,1432,long,0.7,5.0,2022-04-08,10
2022-03-25,6446,long,0.079,10.0,2022-04-11,10
2022-03-25,8440,long,0.9853,20.0,2022-04-13,12
2022-03-28,5321,long,0.037,20.0,2022-04-12,10
2022-03-28,6240,long,0.4471,5.0,2022-04-12,10
2022-03-28,6241,long,0.7628,5.0,2022-04-12,10
2022-03-29,3011,long,0.6852,5.0,2022-04-13,10
2022-03-31,5603,long,0.4866,5.0,2022-04-15,10
2022-04-12,1453,long,0.7692,5.0,2022-04-25,10
2022-04-12,9103,long,,,2022-05-10,20
2022-04-13,4133,long,1.0382,5.0,2022-05-04,15
2022-04-14,4736,long,0.4601,5.0,2022-05-03,13
2022-04-14,5309,long,0.1453,5.0,2022-04-27,10
2022-04-18,4148,long,0.4068,5.0,2022-05-04,12
2022-04-18,8409,long,0.6576,5.0,2022-05-05,13
2022-04-19,6242,long,0.6478,5.0,2022-05-03,10
2022-04-19,6598,long,0.7558,5.0,2022-05-03,10
2022-04-20,6578,long,0.5772,5.0,2022-05-04,10
2022-04-21,1760,long,0.6701,5.0,2022-05-09,12
2022-04-21,3434,long,0.5698,5.0,2022-05-05,10
2022-04-21,6492,long,0.3784,5.0,2022-05-05,10
2022-04-25,4106,long,0.5187,5.0,2022-05-09,10
2022-04-26,6199,long,0.3818,5.0,2022-05-10,10
2022-04-27,8087,long,0.4578,5.0,2022-05-11,10
2022-05-03,1453,long,1.5,20.0,2022-05-16,10
2022-05-05,4304,long,-0.4167,5.0,2022-05-18,10
2022-05-06,6241,long,0.2272,20.0,2022-05-19,10
2022-05-10,4116,long,0.7629,5.0,2022-05-25,12
2022-05-11,4944,long,-0.4063,45.0,2022-06-08,20
2022-05-13,4804,long,-0.1543,5.0,2022-05-26,10
2022-05-13,6113,long,0.4314,5.0,2022-05-26,10
2022-05-16,3629,long,-0.4335,5.0,2022-05-27,10
2022-05-19,2482,long,0.4622,5.0,2022-06-07,13
